Word,Count,achieve,adverb,affect,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,discrep,excl,filler,funct,future,health,hear,humans,i,incl,inhib,insight,ipron,leisure,money,motion,negate,negemo,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,sad,see,shehe,social,space,tentat,they,time,verb,we,work,you,
information,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.555555555555555,0,0,0,0.6711409395973155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
involved,1,0,0,0,0,0,0,0,0,0.7751937984496124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
is,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.333333333333333,0,0,0,0,0,0,0,0.8733624454148472,0,0,0,0,0,2.4390243902439024,0,0,0,0,0,0,0,0,0,0,0,6.349206349206349,0,0,0,0,
isn't,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0.6097560975609756,0,0,4.761904761904762,0,0,0,0,0,0,0,0,1.5873015873015872,0,0,0,0,
it,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6200873362445414,0,0,0,0,0,0,0,0,0,0,0,0,42.857142857142854,0,0,0,0,0,0,0,0,0,
just,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0.6711409395973155,0,0,3.225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.555555555555555,0,0,
keep,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0,0,0,0,0,0,0,0,0,0.6711409395973155,0,0,0,0.6097560975609756,0,0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,
know,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665,0,0,0,0,0,11.11111111111111,0,0,0,1.342281879194631,0,0,0,1.2195121951219512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
last,1,0,0,0,0,0,0,3.225806451612903,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
later,1,0,0,0,0,0,0,3.225806451612903,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
learn,6,0,0,0,0,0,0,0,0,0,0,0,0,14.634146341463415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.333333333333336,0,0,0,4.026845637583893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
let,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4366812227074236,0,0,0,0,0,1.2195121951219512,0,0,0,0,0,0,0,0,0,0,0,3.1746031746031744,0,0,0,0,
like,1,0,0,0,0,0,0,3.225806451612903,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
link,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111111111,0,0,0,1.342281879194631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
looks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0,0,0,0,7.6923076923076925,0,0,0,0,0,0,0,0,0.6097560975609756,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,
lot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.882352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0.6711409395973155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5714285714285716,0,0,0,
make,2,0,0,22.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665,0,0,0,0,0,0,0,0,0,1.342281879194631,0,0,0,1.2195121951219512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
many,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5714285714285716,0,0,0,
maybe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.882352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0.6711409395973155,0,0,3.225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
me,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.045977011494253,6.086956521739131,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5283842794759825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.444444444444443,0,0,0,0,0,0,0,
meet,2,0,0,0,0,0,0,0,0,1.550387596899225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
mention,1,0,0,0,0,0,0,0,0,0.7751937984496124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
might,2,0,0,0,0,0,0,0,0,0,16.666666666666668,0,0,0,0,0,0,11.764705882352942,0,0,0,0,0,0,0,0,0,0,0,0,0.4366812227074236,0,1.342281879194631,0,0,0,1.2195121951219512,0,0,0,0,0,0,0,0,0,0,0,3.1746031746031744,0,0,0,0,
